SIABE;CORPCAIXA\g cs7266 cc_regiao_back_office;CORPCAIXA\G CS7266 CC_REGIAO_RESOURCE;
SIACA;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\G CS7266 CC_REGIAO_FIRST_DECISION;
SIACL;CORPCAIXA\g cs7266 cc_regiao_back_office;CORPCAIXA\G CS7266 CC_REGIAO_SPREAD;
SIADT;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SIAGA;CORPCAIXA\g cs7266 cc_regiao_back_office;CORPCAIXA\g cs7266 cc_regiao_msa_tty;
SIAGC;CORPCAIXA\g cs7266 cc_regiao_back_office;CORPCAIXA\g cs7266 cc_regiao_msa_tty;
SIAFG;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SIAIC;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\g cs7266 cc_regiao_foton;
SIARS;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_msa_tty;
SIAUP;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\G CS7266 CC_REGIAO_CAST;
SIADC;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SIATS;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SIBAT;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SIBCE;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\G CS7266 CC_REGIAO_FIRST_DECISION;
SIATR;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SIARP;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SIBIM;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\G CS7266 CC_REGIAO_FIRST_DECISION;
SIATV;CORPCAIXA\G CS7266 CC_REGIAO_FINANCEIRO;CORPCAIXA\G CS7266 CC_REGIAO_CAST;
SIBIO;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\G CS7266 CC_REGIAO_FIRST_DECISION;
SIBLC;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\G CS7266 CC_REGIAO_FIRST_DECISION;
SICAL;CORPCAIXA\g cs7266 cc_regiao_back_office;CORPCAIXA\g cs7266 cc_regiao_global_web;
SICAP;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SICAQ;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\G CS7266 CC_REGIAO_INDRA;
SICAR;CORPCAIXA\g cs7266 cc_regiao_cartoes;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SICAC;CORPCAIXA\g cs7266 cc_regiao_cartoes;CORPCAIXA\G CS7266 CC_REGIAO_SPREAD;
SICAS;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SICCF;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SICCH;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SICCL;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\G CS7266 CC_REGIAO_SPREAD;
SICCO;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SICDG;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_msa_tty;
SICEM;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SICCV;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SICES;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SIADJ;CORPCAIXA\g cs7266 cc_regiao_captar;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SICCP;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SICET;CORPCAIXA\g cs7266 cc_regiao_cartoes;CORPCAIXA\G CS7266 CC_REGIAO_SPREAD;
SICNR;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\G CS7266 CC_REGIAO_CAST;
SICOC;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_msa_tty;
SICOB_SICARTORIO;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SICOB_COBSINCO;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SICOB_COBCAIXA;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SICEX;CORPCAIXA\g cs7266 cc_regiao_infraestrutura;CORPCAIXA\g cs7266 cc_regiao_stefanini;
SICOB;CORPCAIXA\g cs7266 cc_regiao_servicos_bancarios;CORPCAIXA\g cs7266 cc_regiao_global_web;
SICPA;CORPCAIXA\g cs7266 cc_regiao_back_office;CORPCAIXA\g cs7266 cc_regiao_msa_tty;
SICPJ;CORPCAIXA\g cs7266 cc_regiao_cartoes;CORPCAIXA\G CS7266 CC_REGIAO_SPREAD;
SICPU;CORPCAIXA\g cs7266 cc_regiao_canais;CORPCAIXA\g cs7266 cc_regiao_cpm;
